id,company,title,season,season_inferred,seasons,program,remote,category,location,sponsorship,h1b_approvals,salary,skills,posted_at,posted_at_source,first_seen_at,url
workday:bah:/job/McLean-VA/AI-RAN-Telecommunications-Engineer-Intern_R0246415,Booz Allen,AI RAN Telecommunications Engineer Intern,Not stated,True,,Internship,,Network / Telecom,"McLean, VA",citizens-only,,$108k/yr,Python; C++; PyTorch; TensorFlow; Kubernetes,2026-08-11T00:00:00Z,date_only,2026-08-12T03:53:22Z,https://bah.wd1.myworkdayjobs.com/bah_jobs/job/McLean-VA/AI-RAN-Telecommunications-Engineer-Intern_R0246415
workday:bah:/job/McLean-VA/AI-RAN-Telecommunications-Engineer-Intern_R0246869,Booz Allen,AI RAN Telecommunications Engineer Intern,Not stated,True,,Internship,,Network / Telecom,"McLean, VA",citizens-only,,$108k/yr,Python; C++; PyTorch; TensorFlow; Kubernetes,2026-08-11T00:00:00Z,date_only,2026-08-12T03:53:22Z,https://bah.wd1.myworkdayjobs.com/bah_jobs/job/McLean-VA/AI-RAN-Telecommunications-Engineer-Intern_R0246869
workday:erickson:/job/Baltimore-MD/IT-Intern_R0101964-1,Erickson Senior Living,IT Intern – Enterprise Applications,Not stated,True,,Internship,,IT Support / Ops,"Baltimore, MD",unknown,,$18–$20/hr,,2026-08-11T00:00:00Z,date_only,2026-08-12T03:53:22Z,https://erickson.wd108.myworkdayjobs.com/external/job/Baltimore-MD/IT-Intern_R0101964-1
workday:ing:/job/New-York/Summer-2027-Internship---Tech--Infrastructure-_REQ-10119621,ING,Summer 2027 Internship - Tech (Infrastructure),Summer 2027,False,,Internship,,Systems & Cloud Infra,New York,unknown,,$35/hr,Python; Azure; Git,2026-08-11T00:00:00Z,date_only,2026-08-12T03:53:22Z,https://ing.wd3.myworkdayjobs.com/icsgblcor/job/New-York/Summer-2027-Internship---Tech--Infrastructure-_REQ-10119621
oracle:fa-esgu-saasfaprod1.fa.ocs.oraclecloud.com:23368,Montenson,System Administrator Intern,Summer 2027,False,,Internship,,Systems & Cloud Infra,"MN, United States",no-sponsorship,,,,2026-08-10,date_only,2026-08-12T03:53:22Z,https://fa-esgu-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/23368
workday:pae:/job/US-CO-Colorado-Springs/Network-Engineer-Internship-IRES---SSFB_R0167863,Amentum,Network Engineer Internship IRES - SSFB,Not stated,True,,Internship,,Network / Telecom,US-CO-Colorado Springs,citizens-only,,$20.67/hr,,2026-08-10T00:00:00Z,date_only,2026-08-12T03:53:22Z,https://pae.wd1.myworkdayjobs.com/amentum_careers/job/US-CO-Colorado-Springs/Network-Engineer-Internship-IRES---SSFB_R0167863
workday:canadiansolar:/job/Walnut-Creek-CA/Intern--IT-Infrastructure-Support_10001383,Canadian Solar,"Intern, IT Infrastructure Support",Not stated,True,,Internship,,Systems & Cloud Infra,"Walnut Creek, CA",unknown,,$20–$25/hr,Azure,2026-08-10T00:00:00Z,date_only,2026-08-12T03:53:22Z,https://canadiansolar.wd5.myworkdayjobs.com/CanadianSolar/job/Walnut-Creek-CA/Intern--IT-Infrastructure-Support_10001383
smartrecruiters:BoschGroup:744000142173185,Bosch,Internship Vehicle Thermal Systems Engineering,Not stated,True,,Internship,,Systems & Cloud Infra,"Farmington Hills, MI, United States",unknown,188,,,2026-08-07T15:49:10.910Z,exact,2026-08-12T03:53:22Z,https://jobs.smartrecruiters.com/BoschGroup/744000142173185
workday:copart:/job/Dallas-TX---Headquarters/Vulnerability-Management-Engineering-Intern-_JR109639,Copart,Vulnerability Management Engineering Intern,Not stated,True,,Internship,,Security (general),"Dallas, TX - Headquarters",unknown,83,,Python; SQL; GraphQL,2026-08-07T00:00:00Z,date_only,2026-08-12T03:53:22Z,https://copart.wd12.myworkdayjobs.com/copart/job/Dallas-TX---Headquarters/Vulnerability-Management-Engineering-Intern-_JR109639
workday:globalhr:/job/US-IA-CEDAR-RAPIDS-130--5350-C-Ave-NE--BLDG-130/Intern-Conversion--Systems-Engineer-I--Onsite-_01863190,RTX,Intern Conversion/ Systems Engineer I (Onsite),Not stated,True,,Internship,,Systems & Cloud Infra,US-IA-CEDAR RAPIDS-130 ~ 5350 C Ave NE ~ BLDG 130,citizens-only,,,Python; Linux,2026-08-07T00:00:00Z,date_only,2026-08-12T03:53:22Z,https://globalhr.wd5.myworkdayjobs.com/Private_Posting_No_TMP/job/US-IA-CEDAR-RAPIDS-130--5350-C-Ave-NE--BLDG-130/Intern-Conversion--Systems-Engineer-I--Onsite-_01863190
workday:globalhr:/job/US-IA-CEDAR-RAPIDS-130--5350-C-Ave-NE--BLDG-130/Intern-Conversion--Systems-Engineer-I--Onsite-_01863596,RTX,Intern Conversion/ Systems Engineer I (Onsite),Not stated,True,,Internship,,Systems & Cloud Infra,US-IA-CEDAR RAPIDS-130 ~ 5350 C Ave NE ~ BLDG 130,citizens-only,,,Python; Linux,2026-08-07T00:00:00Z,date_only,2026-08-12T03:53:22Z,https://globalhr.wd5.myworkdayjobs.com/Private_Posting_No_TMP/job/US-IA-CEDAR-RAPIDS-130--5350-C-Ave-NE--BLDG-130/Intern-Conversion--Systems-Engineer-I--Onsite-_01863596
workday:fifththird:/job/Cincinnati-OH/XMLNAME-2027-IT-Audit-Intern_R70611,Fifth Third Bank,2027 IT Audit Intern,Summer 2027,False,,Internship,,GRC / Risk,"Cincinnati, OH",unknown,,,,2026-08-06T00:00:00Z,date_only,2026-08-12T03:53:22Z,https://fifththird.wd5.myworkdayjobs.com/53careers/job/Cincinnati-OH/XMLNAME-2027-IT-Audit-Intern_R70611
