id,company,title,season,season_inferred,seasons,program,remote,category,location,sponsorship,h1b_approvals,salary,skills,posted_at,posted_at_source,first_seen_at,url
greenhouse:charlesriverassociates:8128811,Charles River Associates (CRA),(2028 Bachelor's/Master's graduates) Cyber and Forensic Technology Consulting Analyst/Associate Intern (Summer 2027),Summer 2027,False,,Internship,,Security (general),"Boston, MA, United States; Chicago, IL, United States; Dallas, Texas, United States; Washington, DC, United States",unknown,,$30–$37.5/hr,Python; C#; SQL,2026-08-28T11:19:51-04:00,exact,2026-08-28T22:52:11Z,https://job-boards.greenhouse.io/charlesriverassociates/jobs/8128811
oracle:hdhl.fa.us6.oraclecloud.com:1007361,Stantec,Roadway Design Intern - Infrastructure (Summer 2027),Summer 2027,False,,Internship,,Systems & Cloud Infra,"Raleigh, NC, United States",unknown,,,,2026-08-28,date_only,2026-08-28T22:52:11Z,https://hdhl.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/1007361
workday:conagrabrands:/job/Omaha-Nebraska/Cybersecurity-Internship---Summer-2027_Req-039965,Conagra Brands,Cybersecurity Internship - Summer 2027,Summer 2027,False,,Internship,,Security (general),"Omaha, Nebraska",unknown,14,$23/hr,,2026-08-28T00:00:00Z,date_only,2026-08-28T22:52:11Z,https://conagrabrands.wd1.myworkdayjobs.com/Careers_US/job/Omaha-Nebraska/Cybersecurity-Internship---Summer-2027_Req-039965
workday:globalhr:/job/US-IA-CEDAR-RAPIDS-193--1120-Collins-Rd-NE--BLDG193/Intern---Systems-Engineer--Onsite-_01868046,RTX,Intern - Systems Engineer (Onsite),Not stated,True,,Internship,,Systems & Cloud Infra,US-IA-CEDAR RAPIDS-193 ~ 1120 Collins Rd NE ~ BLDG193,citizens-only,,,,2026-08-28T00:00:00Z,date_only,2026-08-28T12:27:10Z,https://globalhr.wd5.myworkdayjobs.com/Private_Posting_No_TMP/job/US-IA-CEDAR-RAPIDS-193--1120-Collins-Rd-NE--BLDG193/Intern---Systems-Engineer--Onsite-_01868046
workday:tiaa:/job/New-York-NY-USA/Churchill-Summer-Internship--Investment-Infrastructure---Technology--IIT-_R260800515-1,TIAA,Churchill Summer Internship: Investment Infrastructure & Technology (IIT),Not stated,True,,Internship,,Systems & Cloud Infra,"New York, NY, USA",unknown,,$30/hr,Python; SQL; Git,2026-08-28T00:00:00Z,date_only,2026-08-28T22:52:11Z,https://tiaa.wd1.myworkdayjobs.com/Search/job/New-York-NY-USA/Churchill-Summer-Internship--Investment-Infrastructure---Technology--IIT-_R260800515-1
amazon:amazon:10517649,Amazon,"Cloud Hardware Development Engineer Intern, Annapurna Labs - 2027",Summer 2027,False,,Internship,,Cloud Platform,"Austin, Texas, USA",unknown,23139,,Python; Verilog,2026-08-27T00:00:00Z,date_only,2026-08-28T00:40:43Z,https://www.amazon.jobs/en/jobs/10517649/cloud-hardware-development-engineer-intern-annapurna-labs-2027
lever:reply:7bb0afb0-cea1-4e7a-b51e-1c529f37d843,Reply,Social Network Intern,Not stated,True,,Internship,,Network / Telecom,"Chicago, Illinois",unknown,,$15/hr,LLMs,2026-08-27T15:53:49Z,exact,2026-08-28T00:40:43Z,https://jobs.lever.co/reply/7bb0afb0-cea1-4e7a-b51e-1c529f37d843
oracle:ehzq.fa.us2.oraclecloud.com:115640,Grant Thornton,Cybersecurity and Privacy Intern - Summer 2027,Summer 2027,False,,Internship,,Security (general),"Chicago, IL, United States",no-sponsorship,118,$37/hr,,2026-08-27,date_only,2026-08-28T00:40:43Z,https://ehzq.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/115640
smartrecruiters:AbbVie:3743990014896329,AbbVie,2027 Business Technology Solutions Intern - Cybersecurity (Undergraduate),Summer 2027,False,,Internship,,Security (general),"North Chicago, IL, United States (Hybrid)",unknown,303,,Python; Java; C#; JavaScript; HTML/CSS; AWS; GCP; Azure,2026-08-27T16:13:39.930Z,exact,2026-08-28T00:40:43Z,https://jobs.smartrecruiters.com/AbbVie/3743990014896329
smartrecruiters:AbbVie:3743990014900496,AbbVie,2027 Business Technology Solutions Intern - Cybersecurity (Undergraduate),Summer 2027,False,,Internship,,Security (general),"Irvine, CA, United States (Hybrid)",unknown,303,,Python; Java; C#; JavaScript; HTML/CSS; AWS; GCP; Azure,2026-08-27T17:33:14.955Z,exact,2026-08-28T00:40:43Z,https://jobs.smartrecruiters.com/AbbVie/3743990014900496
smartrecruiters:AbbVie:3743990014900536,AbbVie,2027 Business Technology Solutions Intern - Cybersecurity (Undergraduate),Summer 2027,False,,Internship,,Security (general),"South San Francisco, CA, United States (Hybrid)",unknown,303,,Python; Java; C#; JavaScript; HTML/CSS; AWS; GCP; Azure,2026-08-27T17:33:44.657Z,exact,2026-08-28T00:40:43Z,https://jobs.smartrecruiters.com/AbbVie/3743990014900536
workday:airproducts:/job/Allentown-Pennsylvania/Summer-Intern--IT---Cyber-Audit--2027-_JR-2026-21954,Air Products,Summer Intern- IT & Cyber Audit (2027),Summer 2027,False,,Internship,,Security (general),"Allentown, Pennsylvania",unknown,,,,2026-08-27T00:00:00Z,date_only,2026-08-28T00:40:43Z,https://airproducts.wd5.myworkdayjobs.com/AP0001/job/Allentown-Pennsylvania/Summer-Intern--IT---Cyber-Audit--2027-_JR-2026-21954
workday:amainc:/job/Remote---California/Remote-Aeronautics-Systems-Engineering-Intern_R-100747,Analytical Mechanics Associates,Remote Aeronautics Systems Engineering Intern,Not stated,True,,Internship,yes,Systems & Cloud Infra,Remote - California,unknown,4,$29.5–$33.5/hr,,2026-08-27T00:00:00Z,date_only,2026-08-28T00:40:43Z,https://amainc.wd12.myworkdayjobs.com/ama_careers/job/Remote---California/Remote-Aeronautics-Systems-Engineering-Intern_R-100747
workday:andersen:/job/Oak-Park-Heights-MN/IT-Intern_R-8116,Andersen Corporation,IT Intern,Not stated,True,,Internship,,IT Support / Ops,"Oak Park Heights, MN",unknown,11,,,2026-08-27T00:00:00Z,date_only,2026-08-28T22:52:11Z,https://andersen.wd12.myworkdayjobs.com/Andersen_External_Career_Site/job/Oak-Park-Heights-MN/IT-Intern_R-8116
workday:cnoinc:/job/Carmel-IN/Artificial-Intelligence--AI--IT-Intern-2027---REMOTE_JR170389,CNO Financial Group,Artificial Intelligence (AI) IT Intern 2027 - REMOTE,Summer 2027,False,,Internship,yes,IT Support / Ops,"Carmel, IN",unknown,,,,2026-08-27T00:00:00Z,date_only,2026-08-28T00:40:43Z,https://cnoinc.wd5.myworkdayjobs.com/Careers/job/Carmel-IN/Artificial-Intelligence--AI--IT-Intern-2027---REMOTE_JR170389
workday:erickson:/job/Catonsville-MD/Intern---IT-Support_R0103105-1,Erickson Senior Living,Intern – IT Support,Not stated,True,,Internship,,IT Support / Ops,"Catonsville, MD",unknown,,,,2026-08-27T00:00:00Z,date_only,2026-08-28T00:40:43Z,https://erickson.wd108.myworkdayjobs.com/external/job/Catonsville-MD/Intern---IT-Support_R0103105-1
workday:globalhr:/job/US-IA-CEDAR-RAPIDS-130--5350-C-Ave-NE--BLDG-130/Systems-Engineer-Intern---Helmet-Displays--Summer-2027----Onsite_01867411,RTX,Systems Engineer Intern - Helmet Displays (Summer 2027) - Onsite,Summer 2027,False,,Internship,,Systems & Cloud Infra,US-IA-CEDAR RAPIDS-130 ~ 5350 C Ave NE ~ BLDG 130,citizens-only,,,Python; C++; MATLAB,2026-08-27T00:00:00Z,date_only,2026-08-28T12:27:10Z,https://globalhr.wd5.myworkdayjobs.com/Private_Posting_No_TMP/job/US-IA-CEDAR-RAPIDS-130--5350-C-Ave-NE--BLDG-130/Systems-Engineer-Intern---Helmet-Displays--Summer-2027----Onsite_01867411
workday:globalhr:/job/US-IA-CEDAR-RAPIDS-192--1205-Continental-Place-NE--BLDG-192/Intern--Systems-Engineer--Onsite-_01868496,RTX,Intern- Systems Engineer (Onsite),Not stated,True,,Internship,,Systems & Cloud Infra,US-IA-CEDAR RAPIDS-192 ~ 1205 Continental Place NE ~ BLDG 192,citizens-only,,,,2026-08-27T00:00:00Z,date_only,2026-08-28T12:27:10Z,https://globalhr.wd5.myworkdayjobs.com/Private_Posting_No_TMP/job/US-IA-CEDAR-RAPIDS-192--1205-Continental-Place-NE--BLDG-192/Intern--Systems-Engineer--Onsite-_01868496
workday:globalhr:/job/US-IA-CEDAR-RAPIDS-192--1205-Continental-Place-NE--BLDG-192/Intern--Systems-Engineer--Onsite-_01868500,RTX,Intern- Systems Engineer (Onsite),Not stated,True,,Internship,,Systems & Cloud Infra,US-IA-CEDAR RAPIDS-192 ~ 1205 Continental Place NE ~ BLDG 192,citizens-only,,,,2026-08-27T00:00:00Z,date_only,2026-08-28T12:27:10Z,https://globalhr.wd5.myworkdayjobs.com/Private_Posting_No_TMP/job/US-IA-CEDAR-RAPIDS-192--1205-Continental-Place-NE--BLDG-192/Intern--Systems-Engineer--Onsite-_01868500
workday:workiva:/job/USA---Remote/Spring---Summer-2027-Intern---Security---GRC_R12353,Workiva,Spring & Summer 2027 Intern - Security & GRC,Summer 2027,False,,Internship,yes,GRC / Risk,USA - Remote,unknown,3,,Python; Java; SQL; AWS; Linux,2026-08-27T00:00:00Z,date_only,2026-08-29T14:44:09Z,https://workiva.wd503.myworkdayjobs.com/careers/job/USA---Remote/Spring---Summer-2027-Intern---Security---GRC_R12353
smartrecruiters:AbbVie:3743990014860211,AbbVie,2027 Business Technology Solutions Intern - Cloud Engineering (Undergraduate),Summer 2027,False,,Internship,,Cloud Platform,"Irvine, CA, United States (Hybrid)",unknown,303,,HTML/CSS; AWS; GCP; Azure; Kubernetes; Docker,2026-08-26T00:53:42.076Z,exact,2026-08-26T02:09:21Z,https://jobs.smartrecruiters.com/AbbVie/3743990014860211
smartrecruiters:AbbVie:3743990014860386,AbbVie,2027 Business Technology Solutions Intern - Cloud Engineering (Undergraduate),Summer 2027,False,,Internship,,Cloud Platform,"North Chicago, IL, United States (Hybrid)",unknown,303,,HTML/CSS; AWS; GCP; Azure; Kubernetes; Docker,2026-08-26T00:53:09.674Z,exact,2026-08-26T02:09:21Z,https://jobs.smartrecruiters.com/AbbVie/3743990014860386
smartrecruiters:AbbVie:3743990014860456,AbbVie,2027 Business Technology Solutions Intern - Cloud Engineering (Undergraduate),Summer 2027,False,,Internship,,Cloud Platform,"South San Francisco, CA, United States (Hybrid)",unknown,303,,HTML/CSS; AWS; GCP; Azure; Kubernetes; Docker,2026-08-26T00:54:24.912Z,exact,2026-08-26T02:09:21Z,https://jobs.smartrecruiters.com/AbbVie/3743990014860456
workday:amainc:/job/Hampton-VA/Aeronautics-Systems-Engineering-Intern_R-100746,Analytical Mechanics Associates,Aeronautics Systems Engineering Intern,Not stated,True,,Internship,,Systems & Cloud Infra,"Hampton, VA",unknown,4,$25–$27.69/hr,,2026-08-26T00:00:00Z,date_only,2026-08-27T01:02:28Z,https://amainc.wd12.myworkdayjobs.com/ama_careers/job/Hampton-VA/Aeronautics-Systems-Engineering-Intern_R-100746
workday:brunswick:/job/Fond-du-Lac-WI/Mercury-Racing-Systems-Engineering-Co-Op_JR-051290,Brunswick,Mercury Racing Systems Engineering Co-Op,Not stated,True,,Co-op,,Systems & Cloud Infra,"Fond du Lac, WI",unknown,54,$18–$27.5/hr,Python; C++; MATLAB,2026-08-26T00:00:00Z,date_only,2026-08-26T20:15:49Z,https://brunswick.wd1.myworkdayjobs.com/search/job/Fond-du-Lac-WI/Mercury-Racing-Systems-Engineering-Co-Op_JR-051290
